[ 2026-04-15 20:03:59,234 ] 1025 httpx - INFO - HTTP Request: POST https://dagshub.com/login/oauth/middleman "HTTP/1.1 200 OK"
[ 2026-04-15 20:04:00,184 ] 1025 httpx - INFO - HTTP Request: POST https://dagshub.com/login/oauth/access_token "HTTP/1.1 200 OK"
[ 2026-04-15 20:04:02,224 ] 1025 httpx - INFO - HTTP Request: GET https://dagshub.com/api/v1/user "HTTP/1.1 200 OK"
[ 2026-04-15 20:04:02,227 ] 107 dagshub - INFO - Accessing as harshshinde2696
[ 2026-04-15 20:04:03,516 ] 1025 httpx - INFO - HTTP Request: GET https://dagshub.com/api/v1/repos/harshshinde2696/network_security "HTTP/1.1 200 OK"
[ 2026-04-15 20:04:04,691 ] 1025 httpx - INFO - HTTP Request: GET https://dagshub.com/api/v1/user "HTTP/1.1 200 OK"
[ 2026-04-15 20:04:04,695 ] 107 dagshub - INFO - Initialized MLflow to track repo "harshshinde2696/network_security"
[ 2026-04-15 20:04:04,696 ] 107 dagshub - INFO - Repository harshshinde2696/network_security initialized!
[ 2026-04-15 20:04:04,696 ] 22 root - INFO - Initiate the data ingestion
[ 2026-04-15 20:04:14,705 ] 65 root - INFO - Performed train test split on the dataframe
[ 2026-04-15 20:04:14,705 ] 67 root - INFO - Exited split_data_as_train_test method of Data_Ingestion class
[ 2026-04-15 20:04:14,705 ] 75 root - INFO - Exporting train and test file path.
[ 2026-04-15 20:04:14,743 ] 84 root - INFO - Exported train and test file path.
[ 2026-04-15 20:04:14,743 ] 24 root - INFO - Data Initiation Completed
[ 2026-04-15 20:04:14,824 ] 28 root - INFO - Initiate the data Validation
[ 2026-04-15 20:04:14,907 ] 32 root - INFO - Required number of columns:2
[ 2026-04-15 20:04:14,907 ] 33 root - INFO - Data frame has columns:31
[ 2026-04-15 20:04:14,909 ] 32 root - INFO - Required number of columns:2
[ 2026-04-15 20:04:14,909 ] 33 root - INFO - Data frame has columns:31
[ 2026-04-15 20:04:15,031 ] 30 root - INFO - data Validation Completed
[ 2026-04-15 20:04:15,031 ] 33 root - INFO - data Transformation started
[ 2026-04-15 20:04:15,031 ] 63 root - INFO - Entered initiate_data_transformation method of DataTransformation class
[ 2026-04-15 20:04:15,031 ] 65 root - INFO - Starting data transformation
[ 2026-04-15 20:04:15,051 ] 48 root - INFO - Entered get_data_trnasformer_object method of Trnasformation class
[ 2026-04-15 20:04:15,051 ] 53 root - INFO - Initialise KNNImputer with {'missing_values': nan, 'n_neighbors': 3, 'weights': 'uniform'}
[ 2026-04-15 20:04:15,059 ] 46 root - INFO - Entered the save_object method of MainUtils class
[ 2026-04-15 20:04:15,063 ] 50 root - INFO - Exited the save_object method of MainUtils class
[ 2026-04-15 20:04:15,063 ] 46 root - INFO - Entered the save_object method of MainUtils class
[ 2026-04-15 20:04:15,063 ] 50 root - INFO - Exited the save_object method of MainUtils class
[ 2026-04-15 20:04:15,063 ] 37 root - INFO - data Transformation completed
[ 2026-04-15 20:04:15,063 ] 38 root - INFO - Model Training sstared
[ 2026-04-15 20:07:01,810 ] 46 root - INFO - Entered the save_object method of MainUtils class
[ 2026-04-15 20:07:01,811 ] 50 root - INFO - Exited the save_object method of MainUtils class
[ 2026-04-15 20:07:01,811 ] 46 root - INFO - Entered the save_object method of MainUtils class
[ 2026-04-15 20:07:01,847 ] 50 root - INFO - Exited the save_object method of MainUtils class
[ 2026-04-15 20:07:01,847 ] 139 root - INFO - Model trainer artifact: ModelTrainerArtifact(trained_model_file_path='Artifacts\\04_15_2026_20_03_36\\model_trainer\\trained_model\\model.pkl', train_metric_artifact=ClassificationMetricArtifact(f1_score=0.9910037400181947, precision_score=0.9887051230334812, recall_score=0.9933130699088146), test_metric_artifact=ClassificationMetricArtifact(f1_score=0.9723352318958502, precision_score=0.9668284789644013, recall_score=0.9779050736497545))
[ 2026-04-15 20:07:01,851 ] 43 root - INFO - Model Training artifact created
